Animal_ID,Deployment_ID,Tags_SatTag_Manufacturer,Tags_SatTag_Model,Tags_SatTag_ID,Tags_PTT,Data_Track_QCFlag,Tags_SatTag_Comments,Tags_TDR1_Manufacturer,Tags_TDR1_Model,Tags_TDR1_ID,Tags_TDR1_Loc,Data_TDR1_QCFlag,Tags_TDR1_Comments,Tags_TDR2_Manufacturer,Tags_TDR2_Model,Tags_TDR2_ID,Tags_TDR2_Loc,Data_TDR2_QCFlag,Tags_TDR2_Comments,Tags_TDR3_Manufacturer,Tags_TDR3_Model,Tags_TDR3_ID,Tags_TDR3_Loc,Data_TDR3_QCFlag,Tags_TDR3_Comments,Data_TDR1_DepthResolution_m,Data_TDR1_SamplingFrequency_Hz,Data_TDR2_DepthResolution_m,Data_TDR2_SamplingFrequency_Hz,Data_TDR3_DepthResolution_m,Data_TDR3_SamplingFrequency_Hz,Deployment_Departure_Datetime,Deployment_Arrival_Datetime,Deployment_Departure_Lat,Deployment_Departure_Lon,Deployment_Arrival_Lat,Deployment_Arrival_Lon,Deployment_Departure_Loc,Deployment_Arrival_Loc,Deployment_Trip,Animal_BirthYear,Animal_AgeClass,Animal_Sex,Deployment_Manipulation,Deployment_ManipulationType,Animal_HadPup,Deployment_Year
M807,2005003,SMRU,NA,10057,24178,2,NA,Wildlife Computers,Mk9,490122,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/20/2005 3:30,5/11/2005 22:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2005
N796,2005004,SMRU,CTD,10028,23104,2,NA,Wildlife Computers,Mk9,490116,Back,1,NA,SMRU,CTD,10028,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/14/2005 10:45,5/10/2005 7:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2005
1914,2005005,Wildlife Computers,SPOT,NA,56473,1,NA,Wildlife Computers,Mk9,490132,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/14/2005 23:25,5/1/2005 9:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,NA,N/A,2005
O585,2005006,SMRU,NA,10059,24176,2,NA,Wildlife Computers,Mk9,490157,Back,1,NA,SMRU,NA,10059,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/21/2005 21:30,5/14/2005 22:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2005
L868,2005007,SMRU,NA,10063,NaN,1,NA,Wildlife Computers,Mk9,490152,Back,1,NA,SMRU,NA,10063,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/18/2005 0:50,5/7/2005 18:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,NA,N/A,2005
N410,2005008,SMRU,NA,10061,NaN,1,NA,Wildlife Computers,Mk9,490133,Back,1,NA,SMRU,NA,10061,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/23/2005 3:00,5/5/2005 4:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1997,Adult,F,N,NA,N/A,2005
N513,2005009,Wildlife Computers,SPOT,NA,44632,2,NA,Wildlife Computers,Mk9,490117,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/23/2005 18:30,5/6/2005 4:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2005
1535,2005010,Wildlife Computers,SPOT,NA,56474,1,NA,Wildlife Computers,Mk9,490156,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/21/2005 22:00,5/9/2005 23:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,NA,N/A,2005
1595,2005011,Wildlife Computers,SPOT,NA,44633,3,NA,Wildlife Computers,Mk9,490151,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/2/2005 12:45,5/18/2005 23:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,NA,N/A,2005
N354,2005012,Wildlife Computers,SPOT,NA,44639,2,NA,Wildlife Computers,Mk9,490158,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/2/2005 3:00,5/19/2005 7:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,NA,N/A,2005
